Campaign Name,Campaign Status,Campaign Type,Start Date,End Date,Expected Response (%),Responses in Campaign,Contacts in Campaign,Donations in Campaign,Won Donations in Campaign,Value Won Donations in Campaign,Value Donations in Campaign,Expected Revenue in Campaign,Budgeted Cost in Campaign,Actual Cost in Campaign,ROI,Average Cost Per Customer,Average Cost Per Response,% of Goal Reached,Average Gift,Classy Campaign - DEPRECATED,Classy Campaign Hierarchy,Classy Campaign ID,Classy Designations
FY13 Corporations,Completed,Other,7/1/12,6/30/13,0,0,0,11,11,3937,3937,0,0,,,,,0,357.95,,,,
FY13 YPG,Completed,Other,,,0,1,2,11,11,505,505,0,0,,,,,0,45.91,,,,
FY13 Katherine's Marathon Fundraiser,Completed,Other,,,0,0,0,1,1,1660,1660,1500,0,,,,,111,1660,,,,
FY13 Catalog Mailing,Completed,Direct Mail,11/28/12,,0,104,797,97,97,12268,12268,0,0,,,,,0,126.47,,,,
FY13 Jim Kelly Razoo Campaign,Completed,Online,,,0,26,26,25,25,1540,1540,1000,0,,,,,154,61.6,,,,
FY13 Giving Tuesday,Completed,Email,11/27/12,,0,4,4,3,3,375,375,0,0,,,,,0,125,,,,
FY13 Indian Diaspora Outreach,Completed,Other,,,0,26,44,0,0,0,0,0,0,,,,,0,0,,,,
FY13 Alliance Building,Completed,Other,,,0,10,15,0,0,0,0,0,0,,,,,0,0,,,,
FY14 IDEX Academy,In Progress,,7/1/13,,0,37,38,0,0,0,0,0,0,,,,,0,0,,,,
Invest in AiD Today,Active,Donation Page,12/16/16,12/16/26,0,4,4,4,4,310,310,10000,,,,,,3,77.5,,Campaign,112028,General Funds Project
FY08 Corporations,Completed,Other,7/1/07,6/30/08,0,0,0,5,5,4607,4607,,,,,,,0,921.44,,,,
FY14 Major Gifts,In Progress,,7/1/13,6/30/14,0,0,0,22,22,105008,105008,0,0,,,,,0,4773.11,,,,
Sasha Rabsey,Active,Fundraiser,11/19/16,12/20/26,0,6,6,0,0,0,0,2500,,,,,,0,0,,Fundraiser,845071,General Funds Project
Stephanie deWolfe,Active,Fundraiser,12/14/16,12/23/26,0,5,5,0,0,0,0,1500,,,,,,0,0,,Fundraiser,864865,General Funds Project
FY08 Groups,Completed,Other,7/1/07,6/30/08,0,0,0,12,12,3819,3819,,,,,,,0,318.24,,,,
FY14 Unsolicited,Completed,Other,7/1/13,6/30/14,0,0,0,40,40,7877,7877,0,0,,,,,0,196.91,,,,
Joanna Levitt Cea,Active,Fundraiser,12/23/16,2/1/17,0,8,8,0,0,0,0,1000,,,,,,0,0,,Fundraiser,867303,General Funds Project
FY14 India Urgent Appeal,In Progress,Email,7/1/13,8/31/13,0,0,0,2,2,2535,2535,0,0,,,,,0,1267.5,,,,
FY09 Misc,Completed,Other,7/1/08,6/30/09,0,0,0,52,52,223177,223177,0,0,0,,0,,0,4291.87,,,,
FY08 Foundation Proposals,Completed,Other,7/1/07,6/30/08,0,0,0,13,13,106547,106547,,,,,,,0,8195.92,,,,
Heather Masaki,Active,Fundraiser,12/4/16,2/1/17,0,14,14,0,0,0,0,500,,,,,,0,0,,Fundraiser,860676,General Funds Project
FY10 Seva Comms - Spanish,Completed,Email,9/1/09,9/1/09,0,0,7,0,0,0,0,0,0,,,,,0,0,,,,
FY10 Seva Comms Grantees - English,Completed,Email,9/1/09,9/1/09,0,0,15,0,0,0,0,0,0,,,,,0,0,,,,
FY14 JBWS/ Food Justice,In Progress,Panel Event,8/2/13,,0,0,12,0,0,0,0,0,0,,,,,0,0,,,,
FY17_Unsolicited,Planned,,12/5/16,6/30/17,0,0,0,5,5,1868,1868,,,,,,,0,373.65,,,,
FY08 Rhian House Party,Completed,House Party,11/18/07,11/19/07,0,0,0,13,13,805,805,,,,,,,0,61.92,,,,
FY11 Fall Newsletter,Completed,Direct Mail,8/27/10,10/31/10,0,0,1895,18,18,1840,1840,0,0,,,,,0,102.22,,,,
FY11 Ravi Agarwal House Party,Completed,House Party,8/1/10,6/30/11,0,0,0,2,2,1080,1080,0,0,,,,,0,540,,,,
FY Fake Film Night,Completed,,,,0,0,71,0,0,0,0,0,0,,,,,0,0,,,,
FY12 Katherine's Birthday,Completed,Other,7/1/10,12/31/10,0,2,2,6,6,161,161,0,0,,,,,0,26.83,,,,
FY11 Film Night,Completed,Event,8/27/10,11/30/10,0,424,386,0,0,0,0,0,1250,500,-100,,1.18,0,0,,,,
FY11 Groups,Completed,Other,7/1/10,6/30/11,0,0,0,7,7,1897,1897,0,0,,,,,0,271.04,,,,
FY13 Summer Digest,Completed,Email,6/28/13,10/1/13,0,0,0,1,1,50,50,0,0,,,,,0,50,,,,
FY11 Sustainer,Completed,Other,7/1/10,6/30/11,0,0,0,278,278,10369,10369,0,0,,,,,0,37.3,,,,
Advisory Alliance (Growth Plan),Completed,Other,4/15/11,,0,0,50,0,0,0,0,0,0,,,,,0,0,,,,
FY16 Academy - August,Active,Donation Page,3/6/27,3/6/27,0,6,6,6,6,14156,14156,0,,,,,,0,2359.27,,Campaign,82675,General Funds Project
Emails to Bay Area 4,Completed,Email,,,0,0,346,0,0,0,0,0,0,,,,,0,0,,,,
25th Anniversary Event,Completed,Event,8/1/10,12/31/11,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,
Supporting indigenous and peasant farmers in the Global South is a winning re...,Active,Fundraiser,11/24/15,1/15/16,0,0,0,10,10,1491,1491,2500,,,,,,60,149.14,,Fundraiser,570842,IDEX November 2014-June 2015
TsionFundraiser,Active,Fundraiser,11/28/15,2/5/16,0,0,0,5,5,169,169,2500,,,,,,7,33.87,,Fundraiser,572749,General Funds Project
mothers day,Deleted,Fundraiser,3/9/16,5/9/16,0,0,0,0,0,0,0,250,,,,,,0,0,,Fundraiser,627358,General Funds Project
dat Black Mermaid Man Lady,Draft,Registration,4/23/16,4/23/16,0,1,1,0,0,0,0,0,,,,,,0,0,,Campaign,69438,General Funds Project
Gathering around the table for farmers around the world!,Active,Fundraiser,11/19/15,1/15/16,0,0,0,0,0,0,0,1000,,,,,,0,0,,Fundraiser,564188,IDEX November 2014-June 2015
Maize Fund,Active,Donation Page,2/25/16,2/25/26,0,1,1,1,1,522,522,0,,,,,,0,521.77,,Campaign,72749,General Funds Project
Why should we defend maize in Mexico?,Active,Registration,3/14/16,3/14/16,0,16,16,16,16,100,100,0,,,,,,0,6.25,,Campaign,72836,General Funds Project
FY16 Unsolicited,Planned,Other,7/1/15,6/30/16,0,0,0,23,23,177720,177720,100000,1,,,,,178,7726.97,,Campaign,,
Ambassador Tsehai,Active,Fundraiser,11/25/15,2/5/16,0,0,0,19,19,1237,1237,2500,,,,,,49,65.08,,Fundraiser,571044,General Funds Project
BlackLivesMatter,Active,Donation Page,12/10/15,12/10/25,0,15427,15427,26230,26189,1460730,1465065,100000,,,,,,1461,55.78,,Campaign,66399,General Funds Project
"Cooking up social justice. Fill your belly, fill your heart!",Active,Fundraiser,11/30/15,1/15/16,0,0,0,0,0,0,0,1234,,,,,,0,0,,Fundraiser,574112,IDEX November 2014-June 2015
FY16 Mexico Maize Fund,In Progress,,3/14/16,6/30/16,0,0,0,0,0,0,0,200000,30000,,,,,0,0,,Fundraiser,,
FY16 Academy - March,Active,Donation Page,3/6/27,3/6/27,0,15,15,14,12,23912,29259,0,0,,,,,0,1992.66,,Campaign,65756,IDEX November 2014-June 2015
Our recipes start with a huge dose of love and gratitude for the small-scale ...,Active,Fundraiser,11/25/15,1/15/16,0,0,0,2,2,300,300,750,,,,,,40,150,,Fundraiser,571737,IDEX November 2014-June 2015
Donor Lunch with Maria Estella,Completed,Event,3/11/16,3/11/16,0,26,26,0,0,0,0,0,0,350,-100,,13.46,0,0,,,,
dat Black Mermaid Man Lady,Active,Registration,4/23/16,4/23/16,0,4,4,5,5,0,0,0,,,,,,0,0,,Campaign,73755,General Funds Project
A Winning Recipe for Social Change!,Active,Fundraiser,11/19/15,1/15/16,0,0,0,5,5,441,441,2000,,,,,,22,88.19,,Fundraiser,564430,IDEX November 2014-June 2015
FY16 IDEX ACADEMY,In Progress,,12/14/15,6/30/16,0,0,0,0,0,0,0,30000,0,,,,,0,0,,Campaign,,
#DiasporansGive - Winter Campaign,Active,Fundraiser,12/2/15,1/31/16,0,2,2,10,10,573,573,2500,,,,,,23,57.31,,Fundraiser,577372,General Funds Project
FY11 Foundations,Completed,Other,7/1/10,6/30/11,0,0,0,75,46,426586,426586,0,0,,,,,0,9273.61,,,,
IDEX'S Kitchen Table,Active,Registration,3/23/16,3/23/16,0,22,51,13,13,90,90,0,3000,,,,,0,6.92,,Campaign,74578,General Funds Project
CSD Email,Completed,Email,,,0,0,2,0,0,0,0,0,0,,,,,0,0,,,,
We can change the world!,Active,Fundraiser,12/7/15,1/15/16,0,0,0,1,1,1043,1043,500,,,,,,209,1043.25,,Fundraiser,579682,IDEX November 2014-June 2015
Organizing for Food Sovereignty: A Conversation with Elizabeth Mpofu,Active,Registration,2/21/17,2/21/17,0,14,15,18,16,95,95,0,,,,,,0,5.94,,Campaign,118360,General Funds Project
It takes courage... (Main page),Active,Crowdfunding,11/2/16,2/1/17,0,116,119,175,170,92489,93253,100000,,,,,,92,544.05,,Campaign,104402,General Funds Project
"Girl (Code) Power with Imagination Afrika in Dakar, Senegal",Active,Fundraiser,1/27/16,1/31/16,0,0,0,9,9,553,553,500,,,,,,111,61.43,,Fundraiser,598824,General Funds Project
#DiasporansGive - Africans in the Diaspora (AiD) Holiday Campaign,Active,Fundraiser,12/7/15,1/31/16,0,0,0,38,38,3009,3009,5000,,,,,,60,79.19,,Fundraiser,579705,General Funds Project
Celebrate resilience and movement building with us!,Active,Fundraiser,12/2/15,1/15/16,0,0,0,0,0,0,0,250,,,,,,0,0,,Fundraiser,577303,IDEX November 2014-June 2015
It takes courage,Planned,Other,11/7/16,1/15/17,0,0,0,0,0,0,0,100000,,,,,,0,0,,,104402,
Trishala Deb,Active,Fundraiser,11/16/16,2/1/17,0,14,14,0,0,0,0,500,,,,,,0,0,,Fundraiser,842169,General Funds Project
Hilda Almendarez,Active,Fundraiser,12/7/16,12/28/26,0,3,3,0,0,0,0,500,,,,,,0,0,,Fundraiser,862367,IDEX November 2014-June 2015
Africans in the Diaspora Fundraiser,Deleted,Fundraiser,12/8/15,1/31/16,0,0,0,0,0,0,0,2500,,,,,,0,0,,Fundraiser,580117,General Funds Project
Give to Good News!,Active,Fundraiser,11/30/15,1/15/16,0,1,1,11,11,3192,3192,3000,,,,,,106,290.15,,Fundraiser,574714,IDEX November 2014-June 2015
Ambassador Teblet,Active,Fundraiser,11/28/15,2/5/16,0,0,0,29,29,2108,2108,2500,,,,,,84,72.68,,Fundraiser,572734,General Funds Project
FY11 Misc,Completed,Other,7/1/10,6/30/11,0,0,0,49,47,6745,6745,0,0,,,,,0,143.51,,,,
It takes courage (peer to peer),Planned,,11/9/16,1/15/17,0,0,0,0,0,0,0,10000,,,,,,0,0,,,104057,
Africans in the Diaspora's #DiasporansGive campaign is raising funds to supp...,Active,Fundraiser,12/5/15,1/31/16,0,0,0,14,14,1187,1187,2500,,,,,,47,84.77,,Fundraiser,578986,General Funds Project
30 days of recipes that change the world,Active,Fundraising Campaign,12/1/15,1/31/16,0,105,105,181,181,65468,65468,25000,0,,,,,262,342.55,,Campaign,61831,IDEX November 2014-June 2015
FY13 GWOB/EDGE Conference,Completed,Email,5/25/13,6/1/13,0,15,23,0,0,0,0,0,0,,,,,0,0,,,,
FY13 Social Venture Network,Completed,Event,4/24/13,4/27/13,0,1,30,0,0,0,0,0,0,,,,,0,0,,,,
FY08 Annual Dinner,Completed,Event,5/1/08,6/30/08,0,5,2438,153,151,19296,19416,,10000,9749,97.92799261,64.56,1949.8,0,127.79,,,,
Office Blessing & Art Exhibit on 10/19/2016,Completed,Other,10/19/16,10/19/16,0,38,38,0,0,0,0,,,,,,,0,0,,,,
Perspectives on Organizing for Food Sovereignty: A Conversation with Elizabet...,Deleted,Ticketed,2/21/17,2/21/17,0,0,0,0,0,0,0,0,,,,,,0,0,,Campaign,118312,General Funds Project
FY09 Julie Miles India Raffle,Completed,House Party,12/28/08,12/28/08,0,0,0,12,12,480,480,0,0,0,,0,,0,40,,,,
Rajiv Khanna,Active,Fundraiser,12/1/16,2/1/17,0,13,13,0,0,0,0,2500,,,,,,0,0,,Fundraiser,859346,General Funds Project
FY09 Corporations,Completed,Other,7/1/08,6/30/09,0,0,0,8,8,1893,1893,0,0,0,,0,,0,236.56,,,,
FY09 Board Match,Completed,Event,1/13/09,6/30/09,0,0,64,0,0,0,0,0,175,175,-100,,,0,0,,,,
FY10 GlobalGiving,Completed,Online,7/1/09,6/30/10,0,0,0,156,156,33663,33663,0,0,,,,,0,215.79,,,,
FY09 / FY10 Katherine's 30th Birthday,Completed,Online,6/17/09,7/17/09,0,0,0,5,5,180,180,0,0,,,,,0,36,,,,
FY10 Corporations,Completed,Other,7/1/09,6/30/10,0,0,0,8,8,7875,7875,0,0,,,,,0,984.38,,,,
FY10 Groups,Completed,Other,7/1/09,6/30/10,0,0,0,2,2,412,412,0,0,,,,,0,205.82,,,,
FY17 Academy - April,Active,Donation Page,11/11/16,11/11/26,0,12,12,14,14,35982,35982,0,,,,,,0,2570.13,,Campaign,106218,General Funds Project
FY13 Major Gifts,Completed,Other,7/1/12,6/30/13,0,35,106,68,68,162318,162318,0,0,,,,,0,2387.03,,,,
Rajasvini Bhansali,Active,Fundraiser,11/16/16,12/31/26,0,12,12,0,0,0,0,5000,,,,,,0,0,,Fundraiser,840169,General Funds Project
FY10 Open House,Completed,Event,8/21/09,9/30/09,0,30,30,1,1,200,200,0,0,,,,,0,200,,,,
FY10 Diane Dodge House Party,Completed,House Party,10/22/09,,0,0,0,12,12,2030,2030,2000,0,,,,,102,169.17,,,,
FY09 Molly Hoyt house party,Completed,Event,5/20/09,5/30/09,0,1,1,10,10,1525,1525,1250,0,,,,,122,152.5,,,,
FY12 KT Catalyst for Change,Completed,Email,11/24/11,,0,17,17,18,18,1800,1800,0,0,,,,,0,100,,,,
Luam Kidane,Active,Fundraiser,12/5/16,2/1/17,0,5,5,0,0,0,0,500,,,,,,0,0,,Fundraiser,861497,General Funds Project
FY09 Fall Newsletter,Completed,Direct Mail,9/29/08,11/7/08,0,0,1847,24,24,6115,6115,0,3000,2605,134.7408829,108.54,,0,254.79,,,,
FY09 Fall Appeal,Completed,Direct Mail,11/6/08,1/19/09,0,0,1633,170,170,214823,214823,0,0,,,,,0,1263.67,,,,
FY09 India Donor Tour,Completed,Event,5/30/08,12/31/08,0,7,7,14,14,24796,24796,0,24312,21331,16.24396418,1523.64,3047.29,0,1771.14,,,,
FY16 Buen Vivir Fund build-out,In Progress,,9/14/15,12/14/16,0,0,0,0,0,0,0,250000,230000,,,,,0,0,,,,
Katherine Zavala,Active,Fundraiser,12/18/16,2/1/17,0,14,14,0,0,0,0,1000,,,,,,0,0,,Fundraiser,866199,General Funds Project
FY13 Sustainer,Completed,Other,7/1/12,6/30/13,0,3,3,166,166,8050,8050,0,0,,,,,0,48.49,,,,
FY09 Foundations,Completed,Other,7/1/08,6/30/09,0,0,0,53,53,404049,404049,0,0,0,,0,,0,7623.56,,,,
FY12 Annual Report,Completed,Direct Mail,10/26/11,12/31/11,0,0,231,0,0,0,0,0,0,,,,,0,0,,,,
FY13 Donor Survey,Completed,Direct Mail,2/15/13,6/15/13,0,0,1,0,0,0,0,0,0,,,,,0,0,,,,
FY14 Sustainer,In Progress,Other,7/1/13,6/30/14,0,0,0,264,264,9627,9627,0,0,,,,,0,36.47,,,,
30th Anniversary Party and New Brand Launch,Active,Ticketed,6/3/16,6/3/16,0,2,1135,125,125,6250,6250,0,11000,,,,,0,50,,Campaign,76657,General Funds Project
FY14 Foundations,In Progress,Other,1/1/13,6/30/14,0,0,0,31,24,781620,792120,0,0,,,,,0,32567.5,,,,
FY13 Other Worlds - Fiscal Sponsor,Completed,Other,7/1/12,6/30/13,0,0,0,30,30,51310,51310,0,0,,,,,0,1710.33,,,,
#BlackLivesMatter Network,Active,Fundraiser,12/22/15,12/22/16,0,2,2,0,0,0,0,250000,,,,,,0,0,,Fundraiser,584046,General Funds Project
FY13 Grant Fund,Completed,Other,,,0,0,0,1,1,5000,5000,50000,0,,,,,10,5000,,,,
FY09 GlobalGiving,Completed,Online,7/1/08,6/30/09,0,48,0,136,136,37599,37599,0,0,0,,0,0,0,276.46,,,,
FY10 New ED Annoucement,Completed,Direct Mail,2/16/10,2/18/10,0,0,475,0,0,0,0,0,0,,,,,0,0,,,,
FY10 Fall Newsletter,Completed,Direct Mail,9/28/09,11/13/09,0,0,1864,9,9,1465,1465,0,0,,,,,0,162.78,,,,
FY09 Winter Appeal,Completed,Direct Mail,1/23/09,2/28/09,0,0,0,32,32,3628,3628,0,0,,,,,0,113.38,,,,
FY10 CSD Appeal,Completed,Direct Mail,12/1/09,1/31/10,0,1,9,9,9,805,805,0,0,,,,,0,89.44,,,,
FY10 Foundations,Completed,Other,7/1/09,6/30/10,0,0,0,49,48,445936,445936,0,0,,,,,0,9290.34,,,,
FY10 Fall Appeal,Completed,Direct Mail,11/20/09,1/31/10,0,1596,1597,117,117,33986,33986,0,0,,,,,0,290.48,,,,
FY10 Misc,Completed,Other,7/1/09,6/30/10,0,0,0,95,95,223156,223156,0,0,,,,,0,2349.01,,,,
FY10 Sustainer,Completed,Other,7/1/09,6/30/10,0,0,0,316,316,10846,10846,0,0,0,,0,,0,34.32,,,,
FY10 Spring Newsletter,Completed,Direct Mail,3/31/10,5/7/10,0,0,1869,9,9,390,390,500,2527,721,-45.90846047,80.11,,78,43.33,,,,
FY10 Paul & Geraldine House Party,Completed,House Party,10/18/09,,0,0,0,11,11,2175,2175,2000,0,,,,,109,197.73,,,,
FY10 Migration Panel,Completed,Panel Event,5/11/10,5/11/10,0,1,1,1,1,10,10,0,0,,,,,0,10,,,,
FY10 MID/PMID Appeal,Completed,Direct Mail,11/20/09,1/31/10,0,217,218,44,44,78064,78064,0,0,,,,,0,1774.18,,,,
FY10 - SEVA Intro Mailing,Completed,Direct Mail,11/6/09,11/13/09,0,0,9,0,0,0,0,0,0,,,,,0,0,,,,
FY10 Annual Event,Completed,Event,4/1/10,6/30/10,0,141,1080,152,152,23086,23086,25000,10000,8229,180.5457528,54.14,58.36,92,151.88,,,,
FY10 Liva Neyroud House Party,Completed,Event,6/12/10,7/12/10,0,2,18,15,15,970,970,1000,0,,,,,97,64.67,,,,
FY10 Spring Appeal,Completed,Direct Mail,4/26/10,,0,0,0,2,2,130,130,0,0,,,,,0,65,,,,
FY10 Montara Women House Party,Completed,House Party,10/23/09,,0,0,0,26,26,2075,2075,2000,0,,,,,104,79.81,,,,
FY13 Foundations,Completed,Other,11/29/11,6/30/13,0,0,0,98,25,369047,484047,0,0,,,,,0,14761.88,,,,
Go Global With Your Career,Unpublished,Registration,5/24/16,5/24/16,0,0,0,0,0,0,0,0,,,,,,0,0,,Campaign,50020,IDEX November 2014-June 2015
FY15 Corporate Matching,In Progress,Other,7/1/14,6/30/15,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,
Storytelling for Effective Grantwriting,Active,Registration,4/30/15,4/30/15,0,33,33,33,33,215,215,0,,,,,,0,6.52,,Campaign,45730,IDEX November 2014-June 2015
Join my Holiday Fundraiser: Resource the Hope!,Active,Fundraiser,12/3/14,1/1/15,0,1,1,9,9,373,373,1750,,,,,,21,41.4,,Fundraiser,384607,General Funds Project
FY15 Vini Trip to DC NY PA,In Progress,Other,4/6/15,5/6/15,0,0,9,0,0,0,0,0,0,,,,,0,0,,,,
FY15 YPG Annual Event Siyaya,Planned,Email,10/1/14,11/30/14,0,0,1,37,37,1844,1844,1000,0,,,,,184,49.84,,,,
FY15 Year End Fundraising,Completed,Direct Mail,11/1/14,1/31/15,0,0,5321,0,0,0,0,110000,15000,,,,,0,0,,,,
An Evening with Maria Estela: A Discussion of Indigenous Communities and Huma...,Active,Registration,3/15/16,3/15/16,0,25,25,25,25,30,30,0,,,,,,0,1.2,,Campaign,50019,General Funds Project
TEST 1,Deleted,Fundraising Campaign,5/16/15,5/15/16,0,0,0,0,0,0,0,100000,,,,,,0,0,,Campaign,50341,IDEX November 2014-June 2015
IDEX YPG - Denver Chapter Donations,Unpublished,Donation Page,5/8/15,5/8/16,0,0,0,0,0,0,0,2000,,,,,,0,0,,Campaign,49992,General Funds Project
FY15 Jeannette LaFors Gift of Conscience,Completed,Direct Mail,12/17/14,1/31/15,0,0,2,0,0,0,0,0,0,,,,,0,0,,,,
FY15 Unsolicited,In Progress,Other,7/1/14,6/30/15,0,0,0,18,18,9282,9282,0,0,,,,,0,515.67,,,,
No Going Back,Unpublished,Donation Page,11/12/14,1/1/16,0,64,67,103,102,10317,10369,10000,0,,,,,103,101.15,,Campaign,39965,General Funds Project
FY16 Foundations,In Progress,,7/1/15,6/30/16,0,0,0,35,33,1371500,1371500,0,0,,,,,0,41560.61,,,,
MailChimp Campaign: Nepal Update #2 5/15/15,Completed,Email,5/15/15,,0,0,5993,2,2,130,130,,,0,,0,,0,65,,,,
Nepal Recovery Fund Benefit: IDEX YPG Serves Drinks for a Cause,Active,Registration,5/20/15,5/20/15,0,21,21,21,21,225,225,1000,,,,,,23,10.71,,Campaign,45745,General Funds Project
What Does Growing Food Teach Us About Solutions For Climate Change?,Active,Registration,6/16/16,6/16/16,0,7,7,7,7,105,105,0,,,,,,0,15,,Campaign,82704,General Funds Project
Marshall Example Page,Deleted,Fundraiser,11/7/14,11/30/14,0,0,0,0,0,0,0,250,,,,,,0,0,,Fundraiser,371914,General Funds Project
Giving thanks at this time of year for our inspiring work. Please join us!,Active,Fundraiser,12/2/14,1/1/15,0,0,0,6,6,706,706,750,,,,,,94,117.64,,Fundraiser,384019,General Funds Project
MailChimp Campaign: February E-News - FINAL,Completed,Email,2/24/15,,0,0,0,0,0,0,0,,,0,,,,0,0,,,,
FY15 GRI donors to Nepal,Active,Donation Page,4/28/15,6/30/15,0,39,39,42,42,4754,4754,10000,,,,,,48,113.19,,Campaign,49351,IDEX November 2014-June 2015
"Hey, hi, hello! Help me raise some $$$ for a radically awesome organization y...",Active,Fundraiser,12/9/14,1/1/15,0,0,0,1,1,5,5,500,,,,,,1,5,,Fundraiser,385826,General Funds Project
Join IDEX Young Professionals Group in reimagining wealth!,Active,Fundraiser,12/16/14,1/1/15,0,0,0,2,2,68,68,1000,,,,,,7,34.2,,Fundraiser,387110,General Funds Project
FY15 Board,In Progress,Other,7/1/14,6/30/15,0,0,10,0,0,0,0,12000,0,,,,,0,0,,,,
IDEX YPG Donations,Unpublished,Donation Page,3/10/15,3/10/17,0,0,0,0,0,0,0,0,,,,,,0,0,,Campaign,45728,General Funds Project
Marshall Example Campaign,Deleted,Fundraising Campaign,11/7/14,11/17/24,0,0,0,0,0,0,0,10000,,,,,,0,0,,Campaign,39681,General Funds Project
FY15 Email LIst,In Progress,Email,11/14/14,1/31/15,0,0,7181,0,0,0,0,0,0,,,,,0,0,,,,
The Wealth Beneath Our Feet,Active,Fundraiser,11/20/14,1/7/15,0,0,0,0,0,0,0,500,,,,,,0,0,,Fundraiser,378498,General Funds Project
A vast universe when the last is the first.,Active,Fundraiser,12/10/14,1/1/15,0,0,0,0,0,0,0,3000,,,,,,0,0,,Fundraiser,386084,General Funds Project
Hops with Heart: IDEX YPG 5th Annual Beer & Food Tasting Benefit,Active,Registration,10/17/15,10/17/15,0,0,0,0,0,0,0,0,,,,,,0,0,,Campaign,50018,General Funds Project
MailChimp Campaign: Feb 2015 - Bay Area Rising Invite,Completed,Email,2/12/15,,0,0,664,0,0,0,0,,,0,,,,0,0,,,,
IDEX YPG Event 6,Unpublished,Registration,9/1/15,9/30/15,0,0,0,0,0,0,0,0,,,,,,0,0,,Campaign,50023,IDEX November 2014-June 2015
IDEX YPG Event 8,Unpublished,Registration,10/1/15,10/31/15,0,0,0,0,0,0,0,0,,,,,,0,0,,Campaign,50025,IDEX November 2014-June 2015
TEST 2,Deleted,Registration With Fundraising,5/13/15,5/13/15,0,0,0,0,0,0,0,0,,,,,,0,0,,Campaign,50342,General Funds Project
IDEX's 30th Birthday,Unpublished,Registration,5/16/15,5/16/15,0,26,294,46,46,1225,1225,0,8900,,,,,0,26.63,,Campaign,44735,IDEX November 2014-June 2015
Resonant Frequencies: A Storytelling Experience led by Artist-in-Residence Om...,Active,Registration,12/7/16,12/7/16,0,13,13,14,14,70,70,0,,,,,,0,5,,Campaign,50022,General Funds Project
FY15 Off the Greed mailed invite,Completed,Other,7/21/14,9/10/14,0,0,1152,0,0,0,0,0,1000,,,,,0,0,,,,
FY15 Academy,Unpublished,Donation Page,1/8/15,6/29/15,0,9,10,16,16,29163,29163,0,,,,,,0,1822.69,,Campaign,42162,IDEX November 2014-June 2015
FY15 Nepal Recovery and Resilience Fund,Deleted,Registration,5/13/15,5/13/15,0,1,1,0,0,0,0,10000,,,,,,0,0,,Campaign,50343,IDEX November 2014-June 2015
MailChimp Campaign: December E-Alert 2 - Dec 16,Completed,Email,12/16/14,,0,0,6754,0,0,0,0,,,0,,,,0,0,,,,
YPG Peer to Peer Campaign,Unpublished,Fundraising Campaign,3/10/15,5/1/17,0,0,0,0,0,0,0,5000,,,,,,0,0,,Campaign,45731,General Funds Project
IDEX YPG Event 7,Unpublished,Registration,9/1/15,9/30/15,0,0,0,0,0,0,0,0,,,,,,0,0,,Campaign,50024,IDEX November 2014-June 2015
FY15 Solicited by Staff,In Progress,Other,7/1/14,6/30/15,0,0,0,0,0,0,0,0,0,,,,,0,0,,Campaign,,
FY15 Grassroutes,In Progress,,10/1/14,11/30/14,0,0,0,5,5,2090,2090,200,0,,,,,1045,418.04,,,,
MailChimp Campaign: December E-Alert 3 - Dec 23 (Corrected),Completed,Email,12/23/14,,0,0,6661,0,0,0,0,,,0,,,,0,0,,,,
FY14 IDEX Academy Participants,Completed,Other,6/1/14,6/30/15,0,0,8,11,11,11000,11000,0,0,,,,,0,1000,,,,
Baobab Fund,Active,Donation Page,6/3/15,6/3/25,0,12,12,18,16,1035590,1035592,6000000,9000,,,,,17,64724.35,,Campaign,51594,Baobab Fund
General Donations,Active,Fundraising Campaign,11/3/14,3/6/27,0,8,8,5,3,128,268,0,,,,,,0,42.77,,Campaign,39422,General Funds Project
FY15 AiD,In Progress,,9/1/14,6/30/15,0,0,0,5,5,115850,115850,100000,100000,,,,,116,23170,,Campaign,,
FY14 Jeannette LaFors Gift of Conscience,Completed,Direct Mail,12/1/13,1/31/15,0,0,3,0,0,0,0,0,0,,,,,0,0,,,,
Brewing Currents 6th Annual Beer & Food Tasting Benefit,Active,Registration,10/7/16,10/7/16,0,82,82,84,83,2770,2830,0,,,,,,0,33.37,,Campaign,50021,General Funds Project
Join me in creating a more sustainable and just world!,Active,Fundraiser,12/8/14,1/1/15,0,0,0,0,0,0,0,500,,,,,,0,0,,Fundraiser,385683,General Funds Project
Peer to Peer Test,Deleted,Fundraising Campaign,6/6/16,6/30/16,0,0,0,0,0,0,0,1000,,,,,,0,0,,Campaign,83108,General Funds Project
MailChimp Campaign: Nepal Recovery & Resilience Fund,Completed,Email,4/27/15,,0,0,0,0,0,0,0,,,0,,,,0,0,,,,
MailChimp Campaign: Nepal Update,Completed,Email,5/6/15,,0,0,6042,0,0,0,0,,,0,,,,0,0,,,,
FY15 MID calls by board and staff,In Progress,call/ email/ meeting for cultivation,10/31/14,11/30/14,0,0,40,0,0,0,0,0,0,,,,,0,0,,,,
FY10 Kenneth James House Party,Completed,House Party,10/24/09,,,1,1,29,29,3050,3050,2000,0,,,,,153,105.17,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Campaign Detail Report,,,,,,,,,,,,,,,,,,,,,,,
